# frame tid x y w h state(det|pred)
22 19 124.164 80.774 1.000 1.000 det
22 20 92.094 88.712 1.000 1.000 pred
22 21 48.894 71.420 1.000 1.027 pred
22 22 87.592 119.420 1.000 1.000 pred
22 23 28.000 62.000 1.000 1.000 det
22 24 6.000 56.000 1.000 1.000 det
23 0 84.164 56.062 1.000 1.000 det
23 2 102.235 84.930 1.000 1.000 det
23 4 114.828 67.570 1.000 1.000 det
23 5 88.885 55.333 1.000 1.000 det
23 6 123.813 67.936 1.000 1.000 det
23 7 107.861 83.784 1.000 1.000 det
23 8 93.226 54.234 1.000 1.000 det
23 9 129.849 69.010 1.000 1.000 det
23 10 113.193 82.582 1.000 1.000 det
23 11 97.895 52.421 1.000 1.000 det
23 12 131.000 69.277 1.000 1.000 pred
23 13 118.845 81.382 1.000 1.000 det
23 14 102.014 49.744 1.700 1.700 det
23 15 131.000 69.352 1.000 1.000 pred
23 16 124.165 80.783 1.000 1.000 det
23 17 106.845 48.911 1.210 1.210 det
23 18 131.000 69.355 1.000 1.000 pred
23 19 129.283 78.883 1.000 1.000 det
23 20 93.513 91.555 1.000 1.000 pred
23 21 46.765 72.652 1.000 1.027 pred
23 22 89.643 125.074 1.000 1.000 pred
23 23 28.000 62.000 1.000 1.000 det
23 24 6.000 56.000 1.000 1.000 det
23 25 0.000 55.000 1.000 1.000 det
24 0 88.881 55.333 1.000 1.000 det
24 2 107.876 83.736 1.000 1.000 det
24 4 121.687 68.431 1.000 1.000 det
24 5 93.224 54.235 1.000 1.000 det
24 6 129.889 68.992 1.000 1.000 det
24 7 113.177 82.561 1.000 1.000 det
24 8 97.894 52.422 1.000 1.000 det
24 9 131.000 69.203 1.000 1.000 pred
24 10 118.859 81.387 1.000 1.000 det
24 11 102.208 50.260 1.000 1.000 det
24 12 131.000 69.506 1.000 1.000 pred
24 13 124.168 80.784 1.000 1.000 det
24 14 106.845 48.919 1.210 1.210 det
24 15 131.000 69.508 1.000 1.000 pred
24 16 129.285 78.889 1.000 1.000 det
24 17 111.742 47.945 1.063 1.063 det
24 18 131.000 69.410 1.000 1.000 pred
24 19 131.000 77.747 1.000 1.000 pred
24 20 94.932 94.397 1.000 1.000 pred
24 22 91.693 130.728 1.000 1.000 pred
24 23 28.000 62.000 1.000 1.000 pred
24 24 6.000 56.000 1.000 1.000 det
24 25 0.000 55.000 1.000 1.000 det
25 0 93.221 54.236 1.000 1.000 det
25 2 113.176 82.541 1.000 1.000 det
25 4 128.279 69.514 1.000 1.000 det
25 5 98.171 52.138 1.000 1.000 det
25 6 131.000 69.165 1.000 1.000 pred
25 7 118.846 81.370 1.000 1.000 det
25 8 102.207 50.261 1.000 1.000 det
25 9 131.000 69.396 1.000 1.000 pred
25 10 124.177 80.791 1.000 1.000 det
25 11 106.871 49.108 1.000 1.000 det
25 12 131.000 69.734 1.000 1.000 pred
25 13 129.286 78.890 1.000 1.000 det
25 14 111.743 47.950 1.063 1.063 det
25 15 131.000 69.663 1.000 1.000 pred
25 16 131.000 77.755 1.000 1.000 pred
25 17 116.166 48.061 1.019 1.019 det
25 18 131.000 69.464 1.000 1.000 pred
25 19 131.000 76.612 1.000 1.000 pred
25 20 96.350 97.239 1.000 1.000 pred
25 22 93.744 131.000 1.000 1.000 pred
25 23 18.050 60.191 1.000 1.000 det
25 24 6.000 56.000 1.000 1.000 det
25 25 0.000 55.000 1.000 1.000 det
26 0 98.169 52.140 1.000 1.000 det
26 2 118.839 81.366 1.000 1.000 det
26 4 131.000 70.054 1.000 1.000 pred
26 5 102.014 49.748 1.700 1.700 det
26 6 131.000 69.338 1.000 1.000 pred
26 7 124.168 80.777 1.000 1.000 det
26 8 106.870 49.109 1.000 1.000 det
26 9 131.000 69.589 1.000 1.000 pred
26 10 129.291 78.894 1.000 1.000 det
26 11 111.741 48.017 1.000 1.000 det
26 12 131.000 69.963 1.000 1.000 pred
26 13 131.000 77.757 1.000 1.000 pred
26 14 116.166 47.785 1.019 1.019 det
26 15 131.000 69.818 1.000 1.000 pred
26 16 131.000 76.621 1.000 1.000 pred
26 17 120.730 47.353 1.006 1.006 pred
26 18 131.000 69.518 1.000 1.000 pred
26 19 131.000 75.476 1.000 1.000 pred
26 20 97.769 100.082 1.000 1.000 pred
26 22 95.795 131.000 1.000 1.000 pred
26 23 14.375 59.523 1.000 1.000 pred
26 24 6.000 56.000 1.000 1.000 det
26 25 0.000 55.000 1.000 1.000 det
27 0 102.013 49.750 1.700 1.700 det
27 2 124.158 80.783 1.000 1.000 det
27 4 131.000 70.594 1.000 1.000 pred
27 5 106.845 48.922 1.210 1.210 det
27 6 131.000 69.511 1.000 1.000 pred
27 7 129.285 78.886 1.000 1.000 det
27 8 111.741 48.017 1.000 1.000 det
27 9 131.000 69.782 1.000 1.000 pred
27 10 131.000 77.764 1.000 1.000 pred
27 11 116.170 47.524 1.000 1.000 det
27 12 131.000 70.192 1.000 1.000 pred
27 13 131.000 76.624 1.000 1.000 pred
27 14 120.730 46.641 1.006 1.706 pred
27 15 131.000 69.974 1.000 1.000 pred
27 16 131.000 75.488 1.000 1.000 pred
27 17 124.729 47.590 1.006 1.006 det
27 18 131.000 69.573 1.000 1.000 pred
27 19 131.000 74.341 1.000 1.000 pred
27 20 99.188 102.924 1.000 1.000 pred
27 23 10.700 58.854 1.000 1.000 pred
27 24 5.675 55.675 1.000 1.000 det
27 25 0.000 55.000 1.000 1.000 det
28 0 106.844 48.923 1.210 1.210 det
28 2 129.275 78.891 1.000 1.000 det
28 4 131.000 71.133 1.000 1.000 pred
28 5 111.742 47.951 1.063 1.063 det
28 6 131.000 69.684 1.000 1.000 pred
28 7 131.000 77.752 1.000 1.000 pred
28 8 116.169 47.524 1.000 1.000 det
28 9 131.000 69.975 1.000 1.000 pred
28 10 131.000 76.633 1.000 1.000 pred
28 11 120.049 45.915 2.400 2.400 pred
28 12 131.000 70.421 1.000 1.000 pred
28 13 131.000 75.490 1.000 1.000 pred
28 14 124.729 47.111 1.006 1.706 det
28 15 131.000 70.129 1.000 1.000 pred
28 16 131.000 74.354 1.000 1.000 pred
28 17 128.785 46.437 1.702 2.402 pred
28 18 131.000 69.627 1.000 1.000 pred
28 19 131.000 73.205 1.000 1.000 pred
28 20 100.607 105.766 1.000 1.000 pred
28 23 7.025 58.186 1.000 1.000 pred
28 24 5.206 54.506 1.700 3.100 pred
28 25 0.000 55.000 1.000 1.000 det
29 0 111.742 47.952 1.063 1.063 det
29 2 131.000 77.765 1.000 1.000 pred
29 4 131.000 71.673 1.000 1.000 pred
29 5 116.166 47.508 1.019 1.019 det
