# frame tid x y w h state(det|pred)
27 11 111.754 47.917 1.000 1.000 det
27 12 131.000 77.829 1.000 1.000 pred
27 9 131.000 76.853 1.000 1.000 pred
27 6 131.000 83.876 1.000 1.000 pred
27 1 131.000 70.101 1.000 1.000 pred
27 10 131.000 69.886 1.000 1.000 pred
27 3 131.000 69.872 1.000 1.000 pred
28 0 111.770 47.881 1.019 1.019 det
28 2 128.637 78.876 1.000 1.000 det
28 5 106.911 48.849 1.063 1.063 det
28 8 122.364 46.503 2.120 2.820 det
28 7 131.000 77.860 1.000 1.000 pred
28 11 115.473 46.796 2.400 2.400 det
28 12 131.000 76.854 1.000 1.000 pred
28 9 131.000 75.878 1.000 1.000 pred
28 6 131.000 86.082 1.000 1.000 pred
28 1 131.000 70.355 1.000 1.000 pred
28 10 131.000 70.172 1.000 1.000 pred
28 3 131.000 70.200 1.000 1.000 pred
29 0 115.470 46.792 2.406 2.406 det
29 2 131.000 77.812 1.000 1.000 pred
29 5 111.770 47.881 1.019 1.019 det
29 8 125.539 46.515 2.036 2.946 det
29 7 131.000 76.846 1.000 1.000 pred
29 11 120.052 45.904 2.400 2.400 pred
29 12 131.000 75.880 1.000 1.000 pred
29 9 131.000 74.903 1.000 1.000 pred
29 6 131.000 88.288 1.000 1.000 pred
29 1 131.000 70.609 1.000 1.000 pred
29 10 131.000 70.457 1.000 1.000 pred
29 3 131.000 70.529 1.000 1.000 pred
